date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:46	401/401	---M-Z	200	added ('OK')	image/svg+xml	etag:%22191-66c4cea9-8aef30286d7b0f0f;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/jm.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/jm.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:46	401/401	---M-Z	200	added ('OK')	image/svg+xml	etag:%22191-66c4cea9-64ff39cf07fbe839;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/jm.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/jm.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:46	727/727	---M-Z	200	added ('OK')	image/svg+xml	etag:%222d7-66c4cea9-e26692c83197280d;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/jo.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/jo.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:47	702/702	---M-Z	200	added ('OK')	image/svg+xml	etag:%222be-66c4cea9-35049e85249645cc;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/jo.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/jo.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:47	470/470	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d6-66c4cea9-1cd864c566bb560c;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/jp.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/jp.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:47	485/485	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e5-66c4cea9-291b981d3d0abb43;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/jp.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/jp.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:48	1421/1421	---M-Z	200	added ('OK')	image/svg+xml	etag:%2258d-66c4cea9-558e9b538f807b62;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/ke.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/ke.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:48	1536/1536	---M-Z	200	added ('OK')	image/svg+xml	etag:%22600-66c4cea9-542673c5750f8eef;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/ke.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/ke.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:48	3371/3371	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d2b-66c4cea9-cd7f74c27568823a;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kg.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kg.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:50	3322/3322	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cfa-66c4cea9-a63b2af58ff7363c;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kg.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kg.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:50	7277/7277	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c6d-66c4cea9-ba241acf8ff010e5;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kh.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kh.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:51	7278/7278	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c6e-66c4cea9-cdd03df538f954cf;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kh.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kh.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:51	5637/5637	---M-Z	200	added ('OK')	image/svg+xml	etag:%221605-66c4cea9-6eeb01f3d9bcaf88;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/ki.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/ki.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:52	5810/5810	---M-Z	200	added ('OK')	image/svg+xml	etag:%2216b2-66c4cea9-2d1cc3a1fada3ad7;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/ki.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/ki.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:52	1053/1053	---M-Z	200	added ('OK')	image/svg+xml	etag:%2241d-66c4cea9-adc0a0d2382f1d5d;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/km.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/km.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:53	1035/1035	---M-Z	200	added ('OK')	image/svg+xml	etag:%2240b-66c4cea9-744c9b5928cdecc1;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/km.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/km.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:54	796/796	---M-Z	200	added ('OK')	image/svg+xml	etag:%2231c-66c4cea9-ac9234041a19efd8;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kn.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kn.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:54	815/815	---M-Z	200	added ('OK')	image/svg+xml	etag:%2232f-66c4cea9-a37145576ab5b7be;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kn.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kn.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:55	790/790	---M-Z	200	added ('OK')	image/svg+xml	etag:%22316-66c4cea9-ddb6ada5f7527c83;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kp.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kp.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:55	853/853	---M-Z	200	added ('OK')	image/svg+xml	etag:%22355-66c4cea9-c7d3c492407b73cc;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kp.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kp.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:55	1061/1061	---M-Z	200	added ('OK')	image/svg+xml	etag:%22425-66c4cea9-a75959f7813b460b;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kr.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kr.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:56	854/854	---M-Z	200	added ('OK')	image/svg+xml	etag:%22356-66c4cea9-5e2b0dcab9cddc65;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kr.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kr.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:56	517/517	---M-Z	200	added ('OK')	image/svg+xml	etag:%22205-66c4cea9-caeebe36c271e4be;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kw.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kw.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:56	521/521	---M-Z	200	added ('OK')	image/svg+xml	etag:%22209-66c4cea9-5912ebb93736d5d8;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kw.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kw.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:57	24005/24005	---M-Z	200	added ('OK')	image/svg+xml	etag:%225dc5-66c4cea9-96b8fbe84c49ce15;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/ky.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/ky.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:57	23991/23991	---M-Z	200	added ('OK')	image/svg+xml	etag:%225db7-66c4cea9-247172c401e25e00;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/ky.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/ky.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:58	7289/7289	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c79-66c4cea9-21be280779b439b0;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/kz.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/kz.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:59	7291/7291	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c7b-66c4cea9-a74fc5c9966e2fcf;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/kz.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/kz.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:00	456/456	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c8-66c4cea9-86a0656b172ee217;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/la.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/la.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:00	505/505	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f9-66c4cea9-214dda658abf4542;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/la.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/la.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:00	2803/2803	---M-Z	200	added ('OK')	image/svg+xml	etag:%22af3-66c4cea9-3b073814dc73cf7f;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/lb.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/lb.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:01	2742/2742	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ab6-66c4cea9-a7e790818933e10e;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/lb.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/lb.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:01	352/352	---M-Z	200	added ('OK')	image/svg+xml	etag:%22160-66c4cea9-88499e0ffb184275;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/lc.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/lc.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:01	362/362	---M-Z	200	added ('OK')	image/svg+xml	etag:%2216a-66c4cea9-2315e3ce151bf834;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/lc.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/lc.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:02	8245/8245	---M-Z	200	added ('OK')	image/svg+xml	etag:%222035-66c4cea9-d8720050aa2ce632;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/li.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/li.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:14:02	8267/8267	---M-Z	200	added ('OK')	image/svg+xml	etag:%22204b-66c4cea9-784bf8f0bcb0c25e;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/li.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/li.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
